Test | Epoch: 71 | Loss: 1.710 | Acc: 70.520
Train | Epoch: 72 | Loss: 2.324 | Acc: 55.620
Test | Epoch: 72 | Loss: 1.704 | Acc: 70.590
Train | Epoch: 73 | Loss: 2.322 | Acc: 55.137
Test | Epoch: 73 | Loss: 1.715 | Acc: 70.440
Train | Epoch: 74 | Loss: 2.313 | Acc: 55.531
Test | Epoch: 74 | Loss: 1.695 | Acc: 71.150
Train | Epoch: 75 | Loss: 2.279 | Acc: 56.554
Test | Epoch: 75 | Loss: 1.699 | Acc: 70.740
Train | Epoch: 76 | Loss: 2.225 | Acc: 58.015
Test | Epoch: 76 | Loss: 1.688 | Acc: 71.170
Train | Epoch: 77 | Loss: 2.190 | Acc: 59.147
Test | Epoch: 77 | Loss: 1.682 | Acc: 71.640
Train | Epoch: 78 | Loss: 2.229 | Acc: 58.248
Test | Epoch: 78 | Loss: 1.661 | Acc: 72.330
Train | Epoch: 79 | Loss: 2.161 | Acc: 59.715
Test | Epoch: 79 | Loss: 1.663 | Acc: 72.440
Train | Epoch: 80 | Loss: 2.188 | Acc: 59.065
Test | Epoch: 80 | Loss: 1.654 | Acc: 72.910
Train | Epoch: 81 | Loss: 2.164 | Acc: 61.513
Test | Epoch: 81 | Loss: 1.662 | Acc: 72.490
Train | Epoch: 82 | Loss: 2.155 | Acc: 61.007
Test | Epoch: 82 | Loss: 1.648 | Acc: 72.680
Train | Epoch: 83 | Loss: 2.104 | Acc: 61.193
Test | Epoch: 83 | Loss: 1.643 | Acc: 72.760
Train | Epoch: 84 | Loss: 2.094 | Acc: 62.730
Test | Epoch: 84 | Loss: 1.641 | Acc: 72.960
Train | Epoch: 85 | Loss: 2.092 | Acc: 61.893
Test | Epoch: 85 | Loss: 1.634 | Acc: 73.330
Train | Epoch: 86 | Loss: 2.095 | Acc: 63.281
Test | Epoch: 86 | Loss: 1.626 | Acc: 73.510
Train | Epoch: 87 | Loss: 2.007 | Acc: 65.113
Test | Epoch: 87 | Loss: 1.622 | Acc: 73.670
Train | Epoch: 88 | Loss: 2.057 | Acc: 64.277
Test | Epoch: 88 | Loss: 1.623 | Acc: 74.080
Train | Epoch: 89 | Loss: 1.996 | Acc: 64.958
Test | Epoch: 89 | Loss: 1.627 | Acc: 73.470
Train | Epoch: 90 | Loss: 2.028 | Acc: 63.796
Test | Epoch: 90 | Loss: 1.618 | Acc: 73.810
Train | Epoch: 91 | Loss: 2.003 | Acc: 65.452
Test | Epoch: 91 | Loss: 1.622 | Acc: 73.850
Train | Epoch: 92 | Loss: 2.048 | Acc: 64.720
Test | Epoch: 92 | Loss: 1.615 | Acc: 74.040
Train | Epoch: 93 | Loss: 1.998 | Acc: 65.103
Test | Epoch: 93 | Loss: 1.606 | Acc: 74.680
Train | Epoch: 94 | Loss: 1.991 | Acc: 66.129
Test | Epoch: 94 | Loss: 1.615 | Acc: 74.200
Train | Epoch: 95 | Loss: 1.959 | Acc: 66.686
Test | Epoch: 95 | Loss: 1.604 | Acc: 74.320
Train | Epoch: 96 | Loss: 1.978 | Acc: 66.151
Test | Epoch: 96 | Loss: 1.608 | Acc: 74.390
Train | Epoch: 97 | Loss: 1.979 | Acc: 66.371
Test | Epoch: 97 | Loss: 1.607 | Acc: 74.290
Train | Epoch: 98 | Loss: 2.008 | Acc: 65.718
Test | Epoch: 98 | Loss: 1.607 | Acc: 74.420
Train | Epoch: 99 | Loss: 1.978 | Acc: 66.433
Test | Epoch: 99 | Loss: 1.605 | Acc: 74.380
Train | Epoch: 100 | Loss: 2.007 | Acc: 65.498
Test | Epoch: 100 | Loss: 1.605 | Acc: 74.360
